Calne Chilvester & Abberd	WD21CD/E05013412
Kirklees	LAD23CD/E08000034
Kirkley & Pakefield	WD21CD/E05012749
Kirkoswald	WD21CD/E05003218
Kirkstall	WD21CD/E05011402
Kirkwall East	WD21CD/S13002732
Kirkwall West and Orphir	WD21CD/S13002733
Kirriemuir and Dean	WD21CD/S13002867
Kirton and Frampton	WD21CD/E05009625
Kitty Brewster	WD21CD/E05009130
Knaphill	WD21CD/E05010801
Knaresborough Aspin & Calcutt	WD21CD/E05011332
Knaresborough Castle	WD21CD/E05011333
Knaresborough Eastfield	WD21CD/E05011334
Knaresborough Scriven Park	WD21CD/E05011335
Knebworth	WD21CD/E05004775
Knellwood	WD21CD/E05008994
Knight's Hill	WD21CD/E05000424
Knighton	WD21CD/E05010468
Knighton	WD21CD/W05000306
Knightsbridge and Belgravia	WD21CD/E05000637
Knock	WD21CD/N08000333
Knockbracken	WD21CD/N08000724
Greenhithe & Knockhall	WD21CD/E05012398
Halstead, Knockholt and Badgers Mount	WD21CD/E05005018
Knockmore	WD21CD/N08000725
Knocknashane	WD21CD/N08000223
Knocknashinna	WD21CD/N08001027
Knoll	WD21CD/E05008910
Knottingley	WD21CD/E05001452
Knotty Ash	WD21CD/E05000901
Knowle	WD21CD/E05001291
Knowle	WD21CD/E05010906
Knowsley	LAD23CD/E08000011
Knowsley	PCON17CD/E14000775
Knowsley	WD21CD/E05005367
Knutsford	WD21CD/E05008632
Knutton	WD21CD/E05011423
Kursaal	WD21CD/E05002216
Kyle	WD21CD/S13003092
Lache	WD21CD/E05012221
Ladgate	WD21CD/E05009861
Lady Bay	WD21CD/E05009722
Lady Margaret	WD21CD/E05000181
Ladybrook	WD21CD/E05008869
Ladybrook	WD21CD/N08000334
Ladywell	WD21CD/E05000446
Birmingham, Ladywood	PCON17CD/E14000564
Ladywood	WD21CD/E05011151
Lagan	WD21CD/N08000726
Lagan Valley	PCON17CD/N06000009
Lagan Valley	WD21CD/N08000727
Lagmore	WD21CD/N08000335
Laindon Park	WD21CD/E05004026
Lake North	WD21CD/E05013375
Lake South	WD21CD/E05013376
Lakenham	WD21CD/E05012905
Lakenheath	WD21CD/E05012784
Laleham and Shepperton Green	WD21CD/E05007367
Bryntirion, Laleston and Merthyr Mawr	WD21CD/W05000897
Lambeg	WD21CD/N08000728
Lambeth	LAD23CD/E09000022
Lambourn	WD21CD/E05012140
Lambourne	WD21CD/E05004158
Lambridge	WD21CD/E05012472
Lamesley	WD21CD/E05001078
Blackfen & Lamorbey	WD21CD/E05011220
Lampeter	WD21CD/W05000373
Lampeter Velfrey	WD21CD/W05000417
Lamphey	WD21CD/W05000418
Lanark and Hamilton East	PCON17CD/S14000042
Lancaster	LAD23CD/E07000121
Lancaster and Fleetwood	PCON17CD/E14000776
Lancaster Gate	WD21CD/E05000638
Lancaster North	WD21CD/E05011845
Lancaster South	WD21CD/E05011846
Lanchester	WD21CD/E05009066
Land's End	WD21CD/E05013297
Redlynch & Landford	WD21CD/E05013458
Landkey	WD21CD/E05012428
Landore	WD21CD/W05000969
Saltash Trematon & Landrake	WD21CD/E05013350
Halcon & Lane	WD21CD/E05012813
Lanehead	WD21CD/E05005159
Nevile & Langar	WD21CD/E05009726
Langbourn	WD21CD/E05009306
Langdon Hills	WD21CD/E05004027
Langham	WD21CD/E05012638
Billington & Langho	WD21CD/E05012001
Langley	WD21CD/E05001270
Langley Green & Tushmore	WD21CD/E05012919
Langley Kedermister	WD21CD/E05009348
Langley Mill and Aldercar	WD21CD/E05003295
Langley St Mary's	WD21CD/E05009349
Langney	WD21CD/E05011576
Langold	WD21CD/E05006388
Curry Rivel, Huish & Langport	WD21CD/E05012527
Langside	WD21CD/S13002973
Langstone	WD21CD/W05000840
Shebbear & Langtree	WD21CD/E05011928
Langwathby	WD21CD/E05003219
Langwith	WD21CD/E05011992
Lanivet, Blisland & Bodmin St Lawrence	WD21CD/E05013298
Lanner, Stithians & Gwennap	WD21CD/E05013843
Lostwithiel & Lanreath	WD21CD/E05013307
Looe West, Pelynt, Lansallos & Lanteglos	WD21CD/E05013306
Lansbury	WD21CD/E05009325
Lansdown	WD21CD/E05004295
Lansdown	WD21CD/E05012473
Lansdown	WD21CD/W05000804
Looe West, Pelynt, Lansallos & Lanteglos	WD21CD/E05013306
Lea & Larches	WD21CD/E05012202
Larkfield	WD21CD/W05000805
Larkfield North	WD21CD/E05009582
Larkfield South	WD21CD/E05009583
Larkhall	WD21CD/E05000425
Larkhall	WD21CD/S13003114
Larklands	WD21CD/E05010612
Larkswood	WD21CD/E05000602
Larwood	WD21CD/E05010686
Bank Top & Lascelles	WD21CD/E05010412
Latchford East	WD21CD/E05011034
Latchford West	WD21CD/E05011035
Latchmere	WD21CD/E05000617
Lathkill and Bradford	WD21CD/E05003357
Lattersey	WD21CD/E05009498
Cricklade & Latton	WD21CD/E05013427
Laugharne Township	WD21CD/W05000481
Launceston North & North Petherwin	WD21CD/E05013844
Launceston South	WD21CD/E05013301
Launditch	WD21CD/E05010249
Launton and Otmoor	WD21CD/E05010934
Lavant	WD21CD/E05011677
Lavender Fields	WD21CD/E05000463
Lavenham	WD21CD/E05012578
Laverstock	WD21CD/E05013439
Whitchurch, Overton & Laverstoke	WD21CD/E05013094
Lawford, Manningtree & Mistley	WD21CD/E05011949
Lawrence	WD21CD/E05003520
Lawrence Hill	WD21CD/E05010907
Stradbroke & Laxfield	WD21CD/E05012612
Layton	WD21CD/E05001653
Lazonby	WD21CD/E05003220
Lea	WD21CD/E05009645
Lea & Larches	WD21CD/E05012202
Lea Bridge	WD21CD/E05000603
Lea Bridge	WD21CD/E05009380
Leaderdale and Melrose	WD21CD/S13002765
Leadgate and Medomsley	WD21CD/E05009067
Leagrave	WD21CD/E05002202
Leake	WD21CD/E05009723
Leam Valley	WD21CD/E05008980
Leamington	WD21CD/E05010687
Leamington Brunswick	WD21CD/E05012621
Leamington Clarendon	WD21CD/E05012622
Leamington Lillington	WD21CD/E05012623
Leamington Milverton	WD21CD/E05012624
Leamington Willes	WD21CD/E05012625
Leasingham and Rauceby	WD21CD/E05005628
Leasowe and Moreton East	WD21CD/E05000964
Leatherhead North	WD21CD/E05007323
Leatherhead South	WD21CD/E05007324
Leavesden	WD21CD/E05009432
Lecale	WD21CD/N08001028
Lechlade, Kempsford & Fairford South	WD21CD/E05010710
Leckhampton	WD21CD/E05004296
Ledbury North	WD21CD/E05009465
Ledbury South	WD21CD/E05009466
Ledbury West	WD21CD/E05009467
Ledsham & Manor	WD21CD/E05012222
Lee Chapel North	WD21CD/E05004028
Lee East	WD21CD/E05004541
Lee Green	WD21CD/E05000447
Lee West	WD21CD/E05004542
Leeds	LAD23CD/E08000035
Leeds	WD21CD/E05004997
Leeds Central	PCON17CD/E14000777
Leeds East	PCON17CD/E14000778
Leeds North East	PCON17CD/E14000779
Leeds North West	PCON17CD/E14000780
Leeds West	PCON17CD/E14000781
Hadley & Leegomery	WD21CD/E05009977
Leek East	WD21CD/E05007060
Leek North	WD21CD/E05007061
Leek South	WD21CD/E05007062
Leek West	WD21CD/E05007063
Cubbington & Leek Wootton	WD21CD/E05012617
Leen Valley	WD21CD/E05012282
Leesland	WD21CD/E05004543
Leeswood	WD21CD/W05001008
Legbourne	WD21CD/E05009887
Leggatts	WD21CD/E05011049
Legoniel	WD21CD/N08000336
Leicester	LAD23CD/E06000016
Leicester East	PCON17CD/E14000782
Leicester South	PCON17CD/E14000783
Leicester West	PCON17CD/E14000784
Leigh	PCON17CD/E14000785
Leigh	WD21CD/E05002217
Leigh and Chiddingstone Causeway	WD21CD/E05009961
Capel, Leigh and Newdigate	WD21CD/E05007316
Leigh East	WD21CD/E05000852
Leigh South	WD21CD/E05000853
Leigh West	WD21CD/E05000854
Leighton	WD21CD/E05008633
Leighton Buzzard North	WD21CD/E05008796
Leighton Buzzard South	WD21CD/E05008797
Broughton Astley South & Leire	WD21CD/E05011967
Aldeburgh & Leiston	WD21CD/E05012734
Leith	WD21CD/S13002931
Leith Hill	WD21CD/E05007325
Leith Walk	WD21CD/S13002930
St Ives East, Lelant & Carbis Bay	WD21CD/E05013857
Lemington	WD21CD/E05011451
Lenton & Wollaton East	WD21CD/E05012283
Lenzie and Kirkintilloch South	WD21CD/S13002906
Leomansley	WD21CD/E05010664
Leominster East	WD21CD/E05009468
Leominster North & Rural	WD21CD/E05009469
Leominster South	WD21CD/E05009470
Leominster West	WD21CD/E05009471
Lerwick North	WD21CD/S13002777
Lerwick South	WD21CD/S13002778
Glenrothes North, Leslie and Markinch	WD21CD/S13002958
Letchworth East	WD21CD/E05004776
Letchworth Grange	WD21CD/E05004777
Letchworth South East	WD21CD/E05004778
Letchworth South West	WD21CD/E05004779
Letchworth Wilbury	WD21CD/E05004780
Arbroath West, Letham and Friockheim	WD21CD/S13002872
Letterston	WD21CD/W05000419
Leven, Kennoway and Largo	WD21CD/S13002965
Leven	WD21CD/S13003123
Bowness & Levens	WD21CD/E05011492
Levenshulme	WD21CD/E05011369
Leverstock Green	WD21CD/E05004708
Lewes	LAD23CD/E07000063
Lewes	PCON17CD/E14000786
Lewes Bridge	WD21CD/E05011587
Lewes Castle	WD21CD/E05011588
Lewes Priory	WD21CD/E05011589
Lewisham	LAD23CD/E09000023
Lewisham, Deptford	PCON17CD/E14000789
Lewisham Central	WD21CD/E05000448
Lewisham East	PCON17CD/E14000787
Lewisham West and Penge	PCON17CD/E14000788
Lewsey	WD21CD/E05002203
Lexden and Braiswick	WD21CD/E05010831
Leyburn	WD21CD/E05012362
Leyland Central	WD21CD/E05010226
Leyton	WD21CD/E05000604
Leyton and Wanstead	PCON17CD/E14000790
Maypole & Leyton Cross	WD21CD/E05012402
Leytonstone	WD21CD/E05000605
Liberton/Gilmerton	WD21CD/S13002934
Barrhead, Liboside and Uplawmoor	WD21CD/S13002914
Lichfield	LAD23CD/E07000194
Lichfield	PCON17CD/E14000791
Lickey Hills	WD21CD/E05009839
Lickhill	WD21CD/E05010509
Liden, Eldene and Park South	WD21CD/E05008960
Horsehay & Lightmoor	WD21CD/E05009979
Lightwater	WD21CD/E05012031
Lightwood North and Normacot	WD21CD/E05008738
Church Aston & Lilleshall	WD21CD/E05009970
Limbury	WD21CD/E05002204
Lime Street	WD21CD/E05009307
Limehouse	WD21CD/E05009326
Limestone Peak	WD21CD/E05010638
Limpsfield	WD21CD/E05007396
Linacre	WD21CD/E05000942
Linacre	WD21CD/E05003331
Lincoln	LAD23CD/E07000138
Lincoln	PCON17CD/E14000792
Lincoln	WD21CD/E05010250
Lincrest	WD21CD/E05010167
Lindfield	WD21CD/E05007693
Lindford	WD21CD/E05012310
Lindhurst	WD21CD/E05008870
Lindley	WD21CD/E05001407
Lindridge	WD21CD/E05007853
Ling Forest	WD21CD/E05008871
Red Hall & Lingfield	WD21CD/E05010428
Lingfield and Crowhurst	WD21CD/E05007397
Link	WD21CD/E05007854
Linlithgow	WD21CD/S13002820
Linlithgow and East Falkirk	PCON17CD/S14000043
Linn	WD21CD/S13002967
Linslade	WD21CD/E05008798
Linthorpe	WD21CD/E05009862
Linton	WD21CD/E05008814
Linton	WD21CD/E05011298
Bramshott & Liphook	WD21CD/E05012299
Lisbellaw	WD21CD/N08000626
Lisburn and Castlereagh	LAD23CD/N09000007
Liscard	WD21CD/E05000965
Liskeard Central	WD21CD/E05013302
Liskeard South & Dobwalls	WD21CD/E05013303
Lisnacree	WD21CD/N08001029
Lisnagarvey	WD21CD/N08000729
Lisnagelvin	WD21CD/N08000525
Lisnarrick	WD21CD/N08000627
Lisnaskea	WD21CD/N08000628
Liss	WD21CD/E05012311
Lissan	WD21CD/N08000924
Lisvane	WD21CD/W05000865
Liswerry	WD21CD/W05000841
Litchard	WD21CD/W05000609
Litherland	WD21CD/E05000943
Little Acton	WD21CD/W05000261
Little Aston & Stonnall	WD21CD/E05010665
Little Baddow, Danbury and Sandon	WD21CD/E05004105
Ardleigh & Little Bromley	WD21CD/E05011933
Conningbrook & Little Burton Farm	WD21CD/E05011750
Little Chalfont and Amersham Common	WD21CD/E05013152
Little Chell and Stanfield	WD21CD/E05008739
Little Clacton	WD21CD/E05011950
Flitch Green & Little Dunmow	WD21CD/E05009916
Little Eaton & Stanley	WD21CD/E05010613
Little Hadham	WD21CD/E05004733
Little Hallam	WD21CD/E05010614
Little Hampton	WD21CD/E05007918
Little Harwood & Whitebirk	WD21CD/E05011518
Uckfield Ridgewood & Little Horsted	WD21CD/E05011663
Little Horton	WD21CD/E05001358
Little Hulton	WD21CD/E05013027
Little Ilford	WD21CD/E05000487
Little Lever and Darcy Lever	WD21CD/E05000664
Little London & Woodhouse	WD21CD/E05011403
Flackwell Heath, Little Marlow and Marlow South East	WD21CD/E05013144
Little Neston	WD21CD/E05012223
Little Parndon and Hare Street	WD21CD/E05004183
St Neots Priory Park & Little Paxton	WD21CD/E05011275
Little Sandhurst and Wellington	WD21CD/E05002282
Little Stour & Ashstone	WD21CD/E05012861
Little Stour & Adisham	WD21CD/E05012953
Little Thurrock Blackshots	WD21CD/E05002237
Little Thurrock Rectory	WD21CD/E05002238
Little Venice	WD21CD/E05000639
Littleborough Lakeside	WD21CD/E05000747
Littlebury, Chesterford & Wenden Lofts	WD21CD/E05009921
Littledown & Iford	WD21CD/E05012666
Marldon & Littlehempston	WD21CD/E05010139
Littlemoor	WD21CD/E05012013
Littlemoor & Preston	WD21CD/E05012704
Littlemore	WD21CD/E05013107
Littleover	WD21CD/E05001777
Littleport	WD21CD/E05011568
Littleworth	WD21CD/E05010491
Litton and Longstone	WD21CD/E05003358
Liverpool	LAD23CD/E08000012
Liverpool, Riverside	PCON17CD/E14000793
Liverpool, Walton	PCON17CD/E14000794
Liverpool, Wavertree	PCON17CD/E14000795
Liverpool, West Derby	PCON17CD/E14000796
Liversedge and Gomersal	WD21CD/E05001408
Livesey with Pleasington	WD21CD/E05011519
Livingston	PCON17CD/S14000044
Livingston North	WD21CD/S13002822
Livingston South	WD21CD/S13002823
Llanaelhaearn	WD21CD/W05000075
Llanafanfawr	WD21CD/W05000307
Llanarmon-yn-Ial/Llandegla	WD21CD/W05000157
Llanarth	WD21CD/W05000374
Llanbadarn Fawr	WD21CD/W05000308
Llanbadarn Fawr-Padarn	WD21CD/W05000375
Llanbadarn Fawr-Sulien	WD21CD/W05000376
Llanbadoc	WD21CD/W05000806
Llanbedr	WD21CD/W05000076
Llanbedr Dyffryn Clwyd/Llangynhafal	WD21CD/W05000158
Llanbedrog	WD21CD/W05000077
Llanberis	WD21CD/W05000078
Llanboidy	WD21CD/W05000482
Llanbradach	WD21CD/W05000921
Llanbrynmair	WD21CD/W05000309
Llandaff	WD21CD/W05000866
Llandaff North	WD21CD/W05000867
Llanddarog	WD21CD/W05000483
Llandderfel	WD21CD/W05000079
Llanddulas	WD21CD/W05000130
Llandeilo	WD21CD/W05000484
Llandinam	WD21CD/W05000310
Llandough	WD21CD/W05000933
Llandovery	WD21CD/W05000485
Llandow/Ewenny	WD21CD/W05000644
Llandrillo	WD21CD/W05000159
Llandrillo yn Rhos	WD21CD/W05000131
Llandrindod East/Llandrindod West	WD21CD/W05000311
Llandrindod North	WD21CD/W05000312
Llandrindod South	WD21CD/W05000313
Llandrinio	WD21CD/W05000314
Llandybie	WD21CD/W05000486
Llandyfriog	WD21CD/W05000377
Llandyrnog	WD21CD/W05000160
Llandysilio	WD21CD/W05000315
Llandysilio-gogo	WD21CD/W05000378
Llandysul Town	WD21CD/W05000379
Llanegwad	WD21CD/W05000487
Llanelli	PCON17CD/W07000045
Llanelly Hill	WD21CD/W05000807
Llanelwedd	WD21CD/W05000316
Llanengan	WD21CD/W05000080
Llanfair Caereinion	WD21CD/W05000317
Llanfair Dyffryn Clwyd/Gwyddelwern	WD21CD/W05000161
Llanfarian	WD21CD/W05000380
Llanfihangel	WD21CD/W05000318
Llanfihangel Aberbythych	WD21CD/W05000488
Llanfihangel Ystrad	WD21CD/W05000381
Llanfihangel-ar-Arth	WD21CD/W05000489
Llanfoist Fawr	WD21CD/W05000808
Llanfyllin	WD21CD/W05000319
Llanfynydd	WD21CD/W05000216
Llangadog	WD21CD/W05000490
Llangarron	WD21CD/E05009472
Llangattock	WD21CD/W05000320
Llangeinor	WD21CD/W05000610
Llangeitho	WD21CD/W05000382
Llangeler	WD21CD/W05000491
Llangelynin	WD21CD/W05000081
Llangennech	WD21CD/W05001003
Llangernyw	WD21CD/W05000132
Llangewydd and Brynhyfryd	WD21CD/W05000611
Llangollen	WD21CD/W05000162
Llangollen Rural	WD21CD/W05000262
Llangors	WD21CD/W05000321
Llangunllo	WD21CD/W05000322
Llangunnor	WD21CD/W05000493
Llangwm	WD21CD/W05000956
Llangybi	WD21CD/W05000383
Llangybi Fawr	WD21CD/W05000809
Llangyfelach	WD21CD/W05000970
Llangyndeyrn	WD21CD/W05000494
Llangynidr	WD21CD/W05000893
Llangynwyd	WD21CD/W05000612
Llanharan	WD21CD/W05000889
Llanharry	WD21CD/W05000890
Llanhilleth	WD21CD/W05000761
Llanidloes	WD21CD/W05000324
Llanishen	WD21CD/W05001012
Llanllyfni	WD21CD/W05000082
Llannon	WD21CD/W05000495
Llanover	WD21CD/W05000810
Llanrhaeadr-ym-Mochnant/Llansilin	WD21CD/W05000326
Llanrhaeadr-yng-Nghinmeirch	WD21CD/W05000163
Llanrhian	WD21CD/W05000421
Llanrhystyd	WD21CD/W05000384
Llanrug	WD21CD/W05000083
Llanrumney	WD21CD/W05001013
Llansamlet	WD21CD/W05000971
Llansanffraid	WD21CD/W05000133
Llansannan	WD21CD/W05000134
Llansantffraed	WD21CD/W05000385
Llansantffraid	WD21CD/W05000327
Llansteffan	WD21CD/W05000496
Llantarnam	WD21CD/W05000776
Llantilio Crossenny	WD21CD/W05000811
Llantrisant Town	WD21CD/W05001022
Llantwit Fardre	WD21CD/W05001023
Llantwit Major	WD21CD/W05000645
Llanuwchllyn	WD21CD/W05000084
Llanwddyn	WD21CD/W05000325
Llanwenarth Ultra	WD21CD/W05000812
Llanwenog	WD21CD/W05000386
Llanwern	WD21CD/W05000842
Llanwnda	WD21CD/W05000085
Llanwrtyd Wells	WD21CD/W05000328
Llanybydder	WD21CD/W05000497
Llanymynech	WD21CD/E05008163
Llanyrafon East and Ponthir	WD21CD/W05000995
Llanyrafon West	WD21CD/W05000996
Llanyre	WD21CD/W05000329
Llanystumdwy	WD21CD/W05000086
Llay	WD21CD/W05000263
Lledrod	WD21CD/W05000387
Lliedi	WD21CD/W05000498
Llifôn	WD21CD/W05000986
Lligwy	WD21CD/W05000987
Lloyds	WD21CD/E05013228
Llwyn-y-pia	WD21CD/W05000677
Llwynhendy	WD21CD/W05000499
Llysfaen	WD21CD/W05000135
Lobley Hill and Bensham	WD21CD/E05001079
Loch a Tuath	WD21CD/S13002607
Lochar	WD21CD/S13002887
Lochee	WD21CD/S13002546
Lochgelly, Cardenden and Benarty	WD21CD/S13003130
Hutton & Locking	WD21CD/E05010286
Lockleaze	WD21CD/E05010908
Locks Heath	WD21CD/E05004522
Lockwood	WD21CD/E05012446
Loddiswell & Aveton Gifford	WD21CD/E05010138
Loddon	WD21CD/E05002384
Loddon & Chedgrave	WD21CD/E05011880
Lodge	WD21CD/E05010851
Lodge Park	WD21CD/E05007876
Loftus	WD21CD/E05012447
Loggerheads	WD21CD/E05011424
Lomond	WD21CD/S13003122
Lomond North	WD21CD/S13002524
London Bridge & West Bermondsey	WD21CD/E05011104
London Colney	WD21CD/E05004794
London Fields	WD21CD/E05009381
Long Ashton	WD21CD/E05010287
Long Buckby	WD21CD/E05013259
Long Clawson and Stathern	WD21CD/E05005500
Long Ditton	WD21CD/E05011079
Long Eaton Central	WD21CD/E05010615
Long Itchington & Stockton	WD21CD/E05010195
Long Marton	WD21CD/E05003221
Long Melford	WD21CD/E05012579
Long Rock, Marazion & St Erth	WD21CD/E05013845
Long Sutton	WD21CD/E05005650
Long Whatton & Diseworth	WD21CD/E05010116
Longbeck	WD21CD/E05012448
Longbenton	WD21CD/E05001123
Longbridge	WD21CD/E05000035
Longbridge & West Heath	WD21CD/E05011152
Longcross, Lyne & Chertsey South	WD21CD/E05012895
Longden	WD21CD/E05008164
Longdendale	WD21CD/E05000814
Longdon	WD21CD/E05007855
Longdon	WD21CD/E05010666
Longfield, New Barn & Southfleet	WD21CD/E05012401
Longford	WD21CD/E05000832
Longford	WD21CD/E05001225
Longhill & Bilton Grange	WD21CD/E05011535
Longholme	WD21CD/E05005326
Longhope & Huntley	WD21CD/E05012163
Longhorsley	WD21CD/E05009131
Longhoughton	WD21CD/E05009132
Longlands & Beechwood	WD21CD/E05009863
Longlands	WD21CD/E05011227
Longlevens	WD21CD/E05010960
Longmeadow	WD21CD/E05004808
Longsight	WD21CD/E05011370
Longstanton	WD21CD/E05011299
Longthornton	WD21CD/E05000464
Longton & Hutton West	WD21CD/E05010227
Longtown & the Border	WD21CD/E05012948
Longwell Green	WD21CD/E05012118
Looe East & Deviock	WD21CD/E05013305
Looe West, Pelynt, Lansallos & Lanteglos	WD21CD/E05013306
Loose	WD21CD/E05008554
Lordswood and Capstone	WD21CD/E05002254
Lostock Hall	WD21CD/E05010228
Lostwithiel & Lanreath	WD21CD/E05013307
Lothingland	WD21CD/E05005793
Lothingland	WD21CD/E05012750
Loton	WD21CD/E05008165
Lough Road	WD21CD/N08000224
Loughborough	PCON17CD/E14000797
Loughborough Ashby	WD21CD/E05005432
Loughborough Dishley and Hathern	WD21CD/E05005433
Loughborough Garendon	WD21CD/E05005434
Loughborough Hastings	WD21CD/E05005435
Loughborough Lemyngton	WD21CD/E05005436
Loughborough Nanpantan	WD21CD/E05005437
Loughborough Outwoods	WD21CD/E05005438
Loughborough Shelthorpe	WD21CD/E05005439
Loughborough Southfields	WD21CD/E05005440
Loughborough Storer	WD21CD/E05005441
Loughbrickland	WD21CD/N08000225
Loughgall	WD21CD/N08000226
Loughguile and Stranocum	WD21CD/N08000426
Loughries	WD21CD/N08001129
Loughry	WD21CD/N08000925
Loughton & Shenley	WD21CD/E05009414
Loughton Alderton	WD21CD/E05004159
Loughton Broadway	WD21CD/E05004160
Loughton Fairmead	WD21CD/E05004161
Loughton Forest	WD21CD/E05004162
Loughton Roding	WD21CD/E05004163
Loughton St John's	WD21CD/E05004164
Loughton St Mary's	WD21CD/E05004165
Loughview	WD21CD/N08001130
Loundsley Green	WD21CD/E05003332
Louth and Horncastle	PCON17CD/E14000798
Love Lane	WD21CD/N08000831
Loveden Heath	WD21CD/E05010168
Lovelace	WD21CD/E05007295
Lovett and North Claines	WD21CD/E05007919
Low Fell	WD21CD/E05001080
Edisford & Low Moor	WD21CD/E05012010
Distington, Lowca & Parton	WD21CD/E05012553
Lowdham	WD21CD/E05010076
Nuthurst & Lower Beeding	WD21CD/E05011823
Old Sarum & Lower Bourne Valley	WD21CD/E05013453
Lower Braes	WD21CD/S13002943
Lower Brynamman	WD21CD/W05000575
Lower Culm	WD21CD/E05003521
Blackburn South & Lower Darwen	WD21CD/E05011512
Lower Deeside	WD21CD/S13002843
Lower Edmonton	WD21CD/E05000204
Lower Glenshane	WD21CD/N08000926
Cadishead & Lower Irlam	WD21CD/E05013022
Lower Kingswood, Tadworth & Walton	WD21CD/E05012879
Lower Loughor	WD21CD/W05000532
Lower Lune Valley	WD21CD/E05009605
Lower Morden	WD21CD/E05000465
Lower Nazeing	WD21CD/E05004166
Lower Sheering	WD21CD/E05004167
Lower Stoke	WD21CD/E05001226
Lower Swaledale & Arkengarthdale	WD21CD/E05012363
Lower Wensleydale	WD21CD/E05012364
Lower Willingdon	WD21CD/E05011651
Puddletown & Lower Winterborne	WD21CD/E05012710
Lowes Hill	WD21CD/E05009840
Lowgates and Woodthorpe	WD21CD/E05003333
Lowman	WD21CD/E05003522
Wroxall, Lowtherville & Bonchurch	WD21CD/E05013397
Lowton East	WD21CD/E05000855
Loxford	WD21CD/E05011247
Loxwood	WD21CD/E05011678
Lozells	WD21CD/E05011153
Lubenham	WD21CD/E05011972
Luddendenfoot	WD21CD/E05001377
Ludgershall North & Rural	WD21CD/E05013440
Tidworth East & Ludgershall South	WD21CD/E05013473
Ludgvan, Madron, Gulval & Heamoor	WD21CD/E05013308
Ludlow	PCON17CD/E14000799
Ludlow East	WD21CD/E05008166
Ludlow North	WD21CD/E05008167
Ludlow South	WD21CD/E05008168
Lumley	WD21CD/E05009068
Lurigethan	WD21CD/N08000427
Luton	LAD23CD/E06000032
Luton and Wayfield	WD21CD/E05002255
Luton North	PCON17CD/E14000800
Luton South	PCON17CD/E14000801
Lutterell	WD21CD/E05009724
Lutterworth East	WD21CD/E05011973
Lutterworth West	WD21CD/E05011974
Lydbrook	WD21CD/E05012164
Lyddington	WD21CD/E05012639
Lydiard and Freshbrook	WD21CD/E05008961
Lydney East	WD21CD/E05012165
Lydney North	WD21CD/E05012166
Lydney West & Aylburton	WD21CD/E05012167
Lye and Stourbridge North	WD21CD/E05001249
Lye Valley	WD21CD/E05013108
Lyme & Charmouth	WD21CD/E05012705
Lymington Town	WD21CD/E05004600
Lymm North and Thelwall	WD21CD/E05011036
Lymm South	WD21CD/E05011037
Woodbury & Lympstone	WD21CD/E05011810
Widcombe & Lyncombe	WD21CD/E05012493
Lyndhurst	WD21CD/E05004601
Lyndon	WD21CD/E05001292
Longcross, Lyne & Chertsey South	WD21CD/E05012895
Lyneham	WD21CD/E05013441
Lynemouth	WD21CD/E05009133
Lynher	WD21CD/E05013309
Lynton & Lynmouth	WD21CD/E05012429
Lynton & Lynmouth	WD21CD/E05012429
Lytchett Matravers & Upton	WD21CD/E05012706
Constantine, Mabe & Mawnan	WD21CD/E05013282
Mablethorpe	WD21CD/E05009888
Macclesfield	PCON17CD/E14000802
Macclesfield Central	WD21CD/E05008634
Macclesfield East	WD21CD/E05008635
Macclesfield Hurdsfield	WD21CD/E05008636
Macclesfield South	WD21CD/E05008637
Macclesfield Tytherington	WD21CD/E05008638
Macclesfield West and Ivy	WD21CD/E05008639
Machynlleth	WD21CD/W05000330
Mackworth	WD21CD/E05001778
Macosquin	WD21CD/N08000428
Madam's Bank	WD21CD/N08000526
Madeley & Sutton Hill	WD21CD/E05009982
Madeley & Betley	WD21CD/E05011425
Ludgvan, Madron, Gulval & Heamoor	WD21CD/E05013308
Maenclochog	WD21CD/W05000422
Maer & Whitmore	WD21CD/E05011426
Maerdy	WD21CD/W05000678
Maescar/Llywel	WD21CD/W05000331
Maesteg East	WD21CD/W05000613
Maesteg West	WD21CD/W05000614
Maesycwmmer	WD21CD/W05000922
Maesydre	WD21CD/W05000264
Magdalen	WD21CD/E05005794
Maghaberry	WD21CD/N08000730
Maghera	WD21CD/N08000927
Magheralave	WD21CD/N08000731
Magheralin	WD21CD/N08000227
Magilligan	WD21CD/N08000429
Maguiresbridge	WD21CD/N08000629
Mahon	WD21CD/N08000228
Maida Vale	WD21CD/E05000640
Maiden Erlegh	WD21CD/E05002385
Maidenbower	WD21CD/E05012920
Maidenhead	PCON17CD/E14000803
Maidstone	LAD23CD/E07000110
Maidstone and The Weald	PCON17CD/E14000804
Maine	WD21CD/N08000832
Makerfield	PCON17CD/E14000805
Gloweth, Malabar & Shortlanesend	WD21CD/E05013291
Maldon	LAD23CD/E07000074
Maldon	PCON17CD/E14000806
Maldon East	WD21CD/E05004196
Maldon North	WD21CD/E05004197
Maldon South	WD21CD/E05004198
Maldon West	WD21CD/E05004199
Malinslee & Dawley Bank	WD21CD/E05009983
Mallusk	WD21CD/N08000125
Malmesbury	WD21CD/E05013442
Malone	WD21CD/N08000337
Malpas	WD21CD/E05012224
Malpas	WD21CD/W05000843
Maltby East	WD21CD/E05013006
Hellaby & Maltby West	WD21CD/E05013002
Malton	WD21CD/E05006305
